num_brokers,replication_factor,test_type,partitions,message_size_bytes,producer_acks,consumer_groups,records_per_sec,mb_per_sec,avg_latency_ms,max_latency_ms
1,1,producer,1,100,1,N/A,150375.939850,14.34,133.17,295.00
1,1,producer,1,100,all,N/A,169779.286927,16.19,131.97,364.00
1,1,producer,1,1024,1,N/A,72358.900145,70.66,263.93,348.00
1,1,producer,1,1024,all,N/A,75075.075075,73.32,243.74,298.00
1,1,producer,1,10240,1,N/A,10130.2,98.93,185.6,267.0
1,1,producer,1,10240,all,N/A,9920.0,96.88,189.4,290.0
1,1,producer,4,100,1,N/A,231481.481481,22.08,2.20,262.00
1,1,producer,4,100,all,N/A,221729.490022,21.15,2.33,269.00
1,1,producer,4,1024,1,N/A,84817.642070,82.83,179.39,280.00
1,1,producer,4,1024,all,N/A,84033.613445,82.06,175.68,276.00
1,1,producer,4,10240,1,N/A,10636.2,103.87,176.3,269.0
1,1,producer,4,10240,all,N/A,10572.2,103.24,177.1,273.0
1,1,producer,8,100,1,N/A,226244.343891,21.58,2.41,265.00
1,1,producer,8,100,all,N/A,215982.721382,20.60,2.70,270.00
1,1,producer,8,1024,1,N/A,84745.762712,82.76,181.35,278.00
1,1,producer,8,1024,all,N/A,84889.643463,82.90,175.13,278.00
1,1,producer,8,10240,1,N/A,10561.4,103.14,177.5,262.0
1,1,producer,8,10240,all,N/A,10525.0,102.78,177.7,273.0
1,1,consumer,1,100,N/A,1,26219.1924,2.5005,N/A,N/A
1,1,consumer,1,1024,N/A,1,22675.7370,22.1443,N/A,N/A
1,1,consumer,1,10240,N/A,1,7717.8359,75.3695,N/A,N/A
1,1,consumer,4,100,N/A,1,25125.6281,2.3962,N/A,N/A
1,1,consumer,4,1024,N/A,1,23364.4860,22.8169,N/A,N/A
1,1,consumer,4,10240,N/A,1,7954.8166,77.6838,N/A,N/A
1,1,consumer,8,100,N/A,1,28522.5328,2.7201,N/A,N/A
1,1,consumer,8,1024,N/A,1,23435.6691,22.8864,N/A,N/A
1,1,consumer,8,10240,N/A,1,7986.5825,77.9940,N/A,N/A
1,1,e2e-producer,1,100,1,1,208768.267223,19.91,23.77,266.00
1,1,e2e-consumer,1,100,N/A,1,18304.9606,1.7457,N/A,N/A
1,1,e2e-producer,1,1024,1,1,77700.077700,75.88,237.67,292.00
1,1,e2e-consumer,1,1024,N/A,1,15632.3277,15.2659,N/A,N/A
1,1,e2e-producer,1,10240,1,1,9075.6,88.63,207.0,280.0
1,1,e2e-consumer,1,10240,N/A,1,6504.0650,63.5163,N/A,N/A
1,1,e2e-producer,4,100,1,1,235294.117647,22.44,2.15,261.00
1,1,e2e-consumer,4,100,N/A,1,18439.9779,1.7586,N/A,N/A
1,1,e2e-producer,4,1024,1,1,85324.232082,83.32,183.47,278.00
1,1,e2e-consumer,4,1024,N/A,1,15982.1000,15.6075,N/A,N/A
1,1,e2e-producer,4,10240,1,1,10518.6,102.72,178.1,268.0
1,1,e2e-consumer,4,10240,N/A,1,6811.9891,66.5233,N/A,N/A
1,1,e2e-producer,8,100,1,1,234741.784038,22.39,2.56,264.00
1,1,e2e-consumer,8,100,N/A,1,18426.3866,1.7573,N/A,N/A
1,1,e2e-producer,8,1024,1,1,81103.000811,79.20,195.27,308.00
1,1,e2e-consumer,8,1024,N/A,1,16025.6410,15.6500,N/A,N/A
1,1,e2e-producer,8,10240,1,1,10543.8,102.97,177.4,264.0
1,1,e2e-consumer,8,10240,N/A,1,6858.7106,66.9796,N/A,N/A
