test_type,partitions,message_size_bytes,producer_throughput,producer_acks,consumer_groups,records_per_sec,mb_per_sec,avg_latency_ms,max_latency_ms,test_duration_sec
producer,1,100,100000,1,N/A,97087.378641,9.26,22.34,284.00,
producer,1,100,100000,all,N/A,97087.378641,9.26,104.05,464.00,
producer,1,100,500000,1,N/A,210084.033613,20.04,11.43,260.00,
producer,1,100,500000,all,N/A,177619.893428,16.94,60.97,270.00,
producer,1,100,1000000,1,N/A,211864.406780,20.20,13.56,259.00,
producer,1,100,1000000,all,N/A,202839.756592,19.34,13.46,260.00,
producer,1,1024,100000,1,N/A,65146.579805,63.62,219.62,534.00,
producer,1,1024,100000,all,N/A,64020.486556,62.52,229.09,551.00,
producer,1,1024,500000,1,N/A,65231.572081,63.70,224.56,555.00,
producer,1,1024,500000,all,N/A,64683.053040,63.17,225.32,550.00,
producer,1,1024,1000000,1,N/A,66934.404284,65.37,218.41,533.00,
producer,1,1024,1000000,all,N/A,65832.784727,64.29,221.80,528.00,
producer,1,10240,100000,1,N/A,10236.4,99.96,183.8,257.0,
producer,1,10240,100000,all,N/A,10157.0,99.19,185.3,258.0,
producer,1,10240,500000,1,N/A,10267.8,100.27,183.3,257.0,
producer,1,10240,500000,all,N/A,10160.2,99.22,185.0,260.0,
producer,1,10240,1000000,1,N/A,10270.4,100.30,183.2,257.0,
producer,1,10240,1000000,all,N/A,10146.4,99.09,185.4,259.0,
producer,2,100,100000,1,N/A,100100.100100,9.55,1.64,254.00,
producer,2,100,100000,all,N/A,100000.000000,9.54,1.66,261.00,
producer,2,100,500000,1,N/A,238095.238095,22.71,2.42,254.00,
producer,2,100,500000,all,N/A,225225.225225,21.48,2.34,259.00,
producer,2,100,1000000,1,N/A,240384.615385,22.92,3.03,255.00,
producer,2,100,1000000,all,N/A,219780.219780,20.96,2.70,262.00,
producer,2,1024,100000,1,N/A,82372.322900,80.44,192.34,266.00,
producer,2,1024,100000,all,N/A,80971.659919,79.07,201.54,280.00,
producer,2,1024,500000,1,N/A,82508.250825,80.57,204.97,278.00,
producer,2,1024,500000,all,N/A,81103.000811,79.20,209.81,281.00,
producer,2,1024,1000000,1,N/A,82440.230833,80.51,209.02,279.00,
producer,2,1024,1000000,all,N/A,81234.768481,79.33,204.59,279.00,
producer,2,10240,100000,1,N/A,10431.8,101.87,180.5,256.0,
producer,2,10240,100000,all,N/A,10393.6,101.50,181.1,260.0,
producer,2,10240,500000,1,N/A,10443.8,101.99,180.5,253.0,
producer,2,10240,500000,all,N/A,10368.4,101.25,181.2,267.0,
producer,2,10240,1000000,1,N/A,10393.8,101.50,180.5,274.0,
producer,2,10240,1000000,all,N/A,10387.4,101.44,181.3,258.0,
producer,4,100,100000,1,N/A,100000.000000,9.54,1.20,256.00,
producer,4,100,100000,all,N/A,100000.000000,9.54,1.26,260.00,
producer,4,100,500000,1,N/A,236406.619385,22.55,1.69,259.00,
producer,4,100,500000,all,N/A,226244.343891,21.58,1.95,261.00,
producer,4,100,1000000,1,N/A,238663.484487,22.76,1.72,257.00,
producer,4,100,1000000,all,N/A,227272.727273,21.67,1.77,261.00,
producer,4,1024,100000,1,N/A,85689.802913,83.68,148.92,257.00,
producer,4,1024,100000,all,N/A,84602.368866,82.62,159.41,258.00,
producer,4,1024,500000,1,N/A,85251.491901,83.25,182.91,278.00,
producer,4,1024,500000,all,N/A,83752.093802,81.79,182.27,276.00,
producer,4,1024,1000000,1,N/A,85470.085470,83.47,185.45,276.00,
producer,4,1024,1000000,all,N/A,84388.185654,82.41,178.58,276.00,
producer,4,10240,100000,1,N/A,10623.0,103.74,177.0,258.0,
producer,4,10240,100000,all,N/A,10574.6,103.27,177.6,265.0,
producer,4,10240,500000,1,N/A,10614.6,103.66,176.6,265.0,
producer,4,10240,500000,all,N/A,10586.6,103.38,177.6,260.0,
producer,4,10240,1000000,1,N/A,10627.0,103.78,176.9,258.0,
producer,4,10240,1000000,all,N/A,10586.6,103.38,177.6,261.0,
producer,8,100,100000,1,N/A,100000.000000,9.54,1.23,260.00,
producer,8,100,100000,all,N/A,100000.000000,9.54,1.24,261.00,
producer,8,100,500000,1,N/A,237529.691211,22.65,1.92,258.00,
producer,8,100,500000,all,N/A,224215.246637,21.38,1.74,261.00,
producer,8,100,1000000,1,N/A,233100.233100,22.23,1.85,258.00,
producer,8,100,1000000,all,N/A,220750.551876,21.05,1.58,263.00,
producer,8,1024,100000,1,N/A,86655.112652,84.62,131.09,259.00,
producer,8,1024,100000,all,N/A,84745.762712,82.76,142.06,276.00,
producer,8,1024,500000,1,N/A,86505.190311,84.48,163.03,278.00,
producer,8,1024,500000,all,N/A,85984.522786,83.97,164.93,278.00,
producer,8,1024,1000000,1,N/A,86730.268864,84.70,174.98,279.00,
producer,8,1024,1000000,all,N/A,85910.652921,83.90,158.00,278.00,
producer,8,10240,100000,1,N/A,10724.2,104.73,175.0,259.0,
producer,8,10240,100000,all,N/A,10685.6,104.35,175.5,263.0,
producer,8,10240,500000,1,N/A,10720.6,104.69,174.5,259.0,
producer,8,10240,500000,all,N/A,10693.8,104.43,175.5,262.0,
producer,8,10240,1000000,1,N/A,10725.0,104.74,174.9,259.0,
producer,8,10240,1000000,all,N/A,10661.6,104.12,175.9,264.0,
consumer,1,100,N/A,N/A,1,28768.6997,2.7436,N/A,N/A,N/A
consumer,1,100,N/A,N/A,1,28768.6997,2.7436,N/A,N/A,N/A
consumer,1,100,N/A,N/A,2,28752.1564,2.7420,N/A,N/A,N/A
consumer,1,1024,N/A,N/A,1,22956.8411,22.4188,N/A,N/A,N/A
consumer,1,1024,N/A,N/A,1,22956.8411,22.4188,N/A,N/A,N/A
consumer,1,1024,N/A,N/A,2,23036.1668,22.4963,N/A,N/A,N/A
consumer,1,10240,N/A,N/A,1,7824.1139,76.4074,N/A,N/A,N/A
consumer,1,10240,N/A,N/A,1,7803.9644,76.2106,N/A,N/A,N/A
consumer,1,10240,N/A,N/A,2,7827.7886,76.4432,N/A,N/A,N/A
consumer,2,100,N/A,N/A,1,27525.4611,2.6250,N/A,N/A,N/A
consumer,2,100,N/A,N/A,1,29137.5291,2.7788,N/A,N/A,N/A
consumer,2,100,N/A,N/A,2,29086.6783,2.7739,N/A,N/A,N/A
consumer,2,1024,N/A,N/A,1,23691.0685,23.1358,N/A,N/A,N/A
consumer,2,1024,N/A,N/A,1,23668.6391,23.1139,N/A,N/A,N/A
consumer,2,1024,N/A,N/A,2,23747.3284,23.1908,N/A,N/A,N/A
consumer,2,10240,N/A,N/A,1,8187.3260,79.9544,N/A,N/A,N/A
consumer,2,10240,N/A,N/A,1,8180.6283,79.8889,N/A,N/A,N/A
consumer,2,10240,N/A,N/A,2,8190.0082,79.9805,N/A,N/A,N/A
consumer,4,100,N/A,N/A,1,27533.0396,2.6258,N/A,N/A,N/A
consumer,4,100,N/A,N/A,1,29146.0216,2.7796,N/A,N/A,N/A
consumer,4,100,N/A,N/A,2,29112.0815,2.7763,N/A,N/A,N/A
consumer,4,1024,N/A,N/A,1,23685.4571,23.1303,N/A,N/A,N/A
consumer,4,1024,N/A,N/A,1,23523.8767,22.9725,N/A,N/A,N/A
consumer,4,1024,N/A,N/A,2,23713.5404,23.1578,N/A,N/A,N/A
consumer,4,10240,N/A,N/A,1,8184.6456,79.9282,N/A,N/A,N/A
consumer,4,10240,N/A,N/A,1,8187.3260,79.9544,N/A,N/A,N/A
consumer,4,10240,N/A,N/A,2,8194.0347,80.0199,N/A,N/A,N/A
consumer,8,100,N/A,N/A,1,29002.3202,2.7659,N/A,N/A,N/A
consumer,8,100,N/A,N/A,1,28868.3603,2.7531,N/A,N/A,N/A
consumer,8,100,N/A,N/A,2,28985.5072,2.7643,N/A,N/A,N/A
consumer,8,1024,N/A,N/A,1,23702.2991,23.1468,N/A,N/A,N/A
consumer,8,1024,N/A,N/A,1,23702.2991,23.1468,N/A,N/A,N/A
consumer,8,1024,N/A,N/A,2,23651.8448,23.0975,N/A,N/A,N/A
consumer,8,10240,N/A,N/A,1,8126.7777,79.3631,N/A,N/A,N/A
consumer,8,10240,N/A,N/A,1,8128.7596,79.3824,N/A,N/A,N/A
consumer,8,10240,N/A,N/A,2,8128.0988,79.3760,N/A,N/A,N/A
e2e-producer,1,100,1000000,1,1,206185.567010,19.66,15.41,261.00,
e2e-consumer,1,100,N/A,N/A,1,18268.1768,1.7422,N/A,N/A,N/A
e2e-producer,1,100,1000000,1,2,211864.406780,20.20,15.55,257.00,
e2e-consumer,1,100,N/A,N/A,1,18351.9912,1.7502,N/A,N/A,N/A
e2e-consumer,1,100,N/A,N/A,2,18338.5292,1.7489,N/A,N/A,N/A
e2e-producer,1,1024,1000000,1,1,66006.600660,64.46,222.56,527.00,
e2e-consumer,1,1024,N/A,N/A,1,15398.8297,15.0379,N/A,N/A,N/A
e2e-producer,1,1024,1000000,1,2,62774.639046,61.30,250.58,538.00,
e2e-consumer,1,1024,N/A,N/A,1,14180.3744,13.8480,N/A,N/A,N/A
e2e-consumer,1,1024,N/A,N/A,2,14214.6411,13.8815,N/A,N/A,N/A
e2e-producer,1,10240,1000000,1,1,8018.2,78.30,233.5,285.0,
e2e-consumer,1,10240,N/A,N/A,1,5952.3810,58.1287,N/A,N/A,N/A
e2e-producer,1,10240,1000000,1,2,4679.6,45.70,392.9,426.0,
e2e-consumer,1,10240,N/A,N/A,1,3980.8917,38.8759,N/A,N/A,N/A
e2e-consumer,1,10240,N/A,N/A,2,3981.2087,38.8790,N/A,N/A,N/A
e2e-producer,2,100,1000000,1,1,233644.859813,22.28,3.92,260.00,
e2e-consumer,2,100,N/A,N/A,1,18460.4024,1.7605,N/A,N/A,N/A
e2e-producer,2,100,1000000,1,2,227790.432802,21.72,8.50,258.00,
e2e-consumer,2,100,N/A,N/A,1,18358.7296,1.7508,N/A,N/A,N/A
e2e-consumer,2,100,N/A,N/A,2,18433.1797,1.7579,N/A,N/A,N/A
e2e-producer,2,1024,1000000,1,1,78247.261346,76.41,220.24,304.00,
e2e-consumer,2,1024,N/A,N/A,1,15974.4409,15.6000,N/A,N/A,N/A
e2e-producer,2,1024,1000000,1,2,62932.662052,61.46,302.60,401.00,
e2e-consumer,2,1024,N/A,N/A,1,14214.6411,13.8815,N/A,N/A,N/A
e2e-consumer,2,1024,N/A,N/A,2,14172.3356,13.8402,N/A,N/A,N/A
e2e-producer,2,10240,1000000,1,1,9560.4,93.36,196.6,257.0,
e2e-consumer,2,10240,N/A,N/A,1,6668.4449,65.1215,N/A,N/A,N/A
e2e-producer,2,10240,1000000,1,2,5370.0,52.44,343.6,387.0,
e2e-consumer,2,10240,N/A,N/A,1,4331.6296,42.3011,N/A,N/A,N/A
e2e-consumer,2,10240,N/A,N/A,2,4328.6296,42.2718,N/A,N/A,N/A
e2e-producer,4,100,1000000,1,1,239234.449761,22.82,2.22,257.00,
e2e-consumer,4,100,N/A,N/A,1,18518.5185,1.7661,N/A,N/A,N/A
e2e-producer,4,100,1000000,1,2,237529.691211,22.65,3.58,257.00,
e2e-consumer,4,100,N/A,N/A,1,18422.9919,1.7570,N/A,N/A,N/A
e2e-consumer,4,100,N/A,N/A,2,18426.3866,1.7573,N/A,N/A,N/A
e2e-producer,4,1024,1000000,1,1,81900.081900,79.98,202.25,298.00,
e2e-consumer,4,1024,N/A,N/A,1,16095.2841,15.7181,N/A,N/A,N/A
e2e-producer,4,1024,1000000,1,2,76219.512195,74.43,219.90,332.00,
e2e-consumer,4,1024,N/A,N/A,1,14202.5280,13.8697,N/A,N/A,N/A
e2e-consumer,4,1024,N/A,N/A,2,14232.8494,13.8993,N/A,N/A,N/A
e2e-producer,4,10240,1000000,1,1,10143.8,99.06,185.0,263.0,
e2e-consumer,4,10240,N/A,N/A,1,6857.2996,66.9658,N/A,N/A,N/A
e2e-producer,4,10240,1000000,1,2,8823.4,86.17,212.2,256.0,
e2e-consumer,4,10240,N/A,N/A,1,4335.9494,42.3433,N/A,N/A,N/A
e2e-consumer,4,10240,N/A,N/A,2,4338.5830,42.3690,N/A,N/A,N/A
e2e-producer,8,100,1000000,1,1,239234.449761,22.82,2.45,255.00,
e2e-consumer,8,100,N/A,N/A,1,18501.3876,1.7644,N/A,N/A,N/A
e2e-producer,8,100,1000000,1,2,233644.859813,22.28,3.34,260.00,
e2e-consumer,8,100,N/A,N/A,1,18362.1006,1.7511,N/A,N/A,N/A
e2e-consumer,8,100,N/A,N/A,2,18345.2578,1.7495,N/A,N/A,N/A
e2e-producer,8,1024,1000000,1,1,82440.230833,80.51,195.29,314.00,
e2e-consumer,8,1024,N/A,N/A,1,16149.8708,15.7714,N/A,N/A,N/A
e2e-producer,8,1024,1000000,1,2,78431.372549,76.59,208.79,324.00,
e2e-consumer,8,1024,N/A,N/A,1,14271.4428,13.9370,N/A,N/A,N/A
e2e-consumer,8,1024,N/A,N/A,2,14289.7971,13.9549,N/A,N/A,N/A
e2e-producer,8,10240,1000000,1,1,10225.0,99.85,182.8,262.0,
e2e-consumer,8,10240,N/A,N/A,1,6900.8350,67.3910,N/A,N/A,N/A
e2e-producer,8,10240,1000000,1,2,9456.0,92.34,198.0,258.0,
e2e-consumer,8,10240,N/A,N/A,1,4344.6148,42.4279,N/A,N/A,N/A
e2e-consumer,8,10240,N/A,N/A,2,4412.0891,43.0868,N/A,N/A,N/A
